expense_date,expense_type_id,expense_sub_type_id,currency_id,amount,family_id,note
1/1/2025,1,0,2,787,0,Mortgage Payment
1/1/2025,2,0,2,191,0,Loan payment
1/1/2025,6,0,2,46,5,Amazon
1/1/2025,6,0,2,19,0,Amazon
1/2/2025,5,0,2,65,0,Grocery #3
1/3/2025,5,0,2,77,0,Grocery #1
1/4/2025,3,0,2,57,0,Hardware Store #1
1/4/2025,5,0,2,112,0,Grocery #4
1/4/2025,9,FUEL,2,35,0,Fuel
1/5/2025,6,0,2,8,0,Amazon
1/5/2025,3,0,2,46,0,Hardware Store #1
1/6/2025,22,0,2,13,7,Restraunt #2
1/7/2025,22,0,2,52,2,Restraunt #3
1/9/2025,3,0,2,15,0,Hardware Store #1
1/9/2025,3,0,2,12,0,Hardware Store #2
1/10/2025,5,0,2,14,0,Grocery #3
1/11/2025,6,0,2,11,0,Amazon
1/12/2025,5,0,2,39,0,Grocery #1
1/12/2025,5,0,2,19,0,Grocery #3
1/12/2025,6,0,2,64,5,Amazon
1/12/2025,3,0,2,16,0,Hardware Store #1
1/13/2025,5,0,2,77,0,Grocery #3
1/14/2025,5,0,2,43,0,Grocery #1
1/14/2025,22,0,2,18,4,Restraunt #1
1/15/2025,4,0,2,33,0,Internet Provider
1/15/2025,4,0,2,111,0,Electrical Provider
1/15/2025,7,0,2,70,0,Mobile Provider
1/15/2025,5,0,2,35,0,Grocery #3
1/15/2025,8,SUBS,2,25,0,Subscription #2
1/16/2025,9,FUEL,2,38,0,Fuel
1/16/2025,5,0,2,34,0,Grocery #1
1/16/2025,5,0,2,5,0,Grocery #3
1/17/2025,5,0,2,31,0,Grocery #3
1/19/2025,3,0,2,30,0,Hardware Store #1
1/20/2025,3,0,2,63,0,Hardware Store #1
1/20/2025,5,0,2,44,0,Grocery #1
1/20/2025,8,SUBS,2,24,0,Subscription #1
1/21/2025,5,0,2,41,0,Grocery #1
1/22/2025,22,0,2,12,4,Restraunt #2
1/26/2025,5,0,2,22,0,Grocery #3
1/27/2025,5,0,2,54,0,Grocery #1
1/28/2025,5,0,2,33,0,Grocery #3
